msa,saudi,egyptian,iraqi,levantine,moroccan
ما هي الاماكن التي تقدم خدمه تاجير السيارات؟,وش الاماكن اللي فيها تاجير سيارات؟,ايه الاماكن اللي فيها تاجير عربيات؟,شنو الاماكن اللي بيها تاجير سيارات؟,شو الاماكن اللي فيها تاجير سيارات؟,فين الاماكن اللي فيها كراء السيارات؟
احتاج الي مصباح يدوي.,احتاج لمصباح يدوي.,انا محتاج لمصباح يدوي.,احتاج مصباح يدوي.,بدي كشاف.,خاصني لمبه.
اريد ان اذهب لركوب الخيل.,ابغي اروح اركب خيل.,انا عايز اروح اركب خيل.,اريد اروح اركب خيل.,بدي روح اركب خيل.,بغيت نمشي نركب علي خيل.
ساحجز رحله باليخت.,بحجز رحله باليخت.,هحجز رحله باليخت.,راح احجز رحله باليخت.,رح احجز رحله باليخت.,غادي نحجز رحله بالياخت.
استمتعت بزياره الاماكن الاثريه.,استمتعت بزياره الاماكن الاثريه.,استمتعت بزياره الاماكن الاثريه.,استمتعت بزياره الاماكن الاثريه.,استمتعت بزياره الاماكن الاثريه.,استمتعت بزياره الاماكن الاثريه.
اريد ان اتعلم العزف علي اله موسيقيه محليه.,ابغي اتعلم عزف علي اله موسيقيه شعبيه.,عايز اتعلم عزف علي اله موسيقيه بلديه.,اريد اتعلم عزف علي اله موسيقيه محليه.,بدي اتعلم عزف علي اله موسيقيه بلديه/شعبيه.,بغيت نتعلم لعزف علي شي اله موسيقيه بلديه.
ساحجز تذكره للباص السياحي.,باحجز تذكره للباص السياحي.,هحجز تذكره للاوتوبيس السياحي.,راح احجز تذكره للباص السياحي.,رح احجز تذكره للباص السياحي.,غادي نحجز تيكيط ديال الاوطوبيس السياحي.
هل يمكنني تغيير تاريخ رحلتي؟,هل اقدر اغير تاريخ رحلتي؟,ممكن اغير تاريخ رحلتي؟,اگدر اغير تاريخ رحلتي؟,فيني غيّر تاريخ سفرتي؟,واش نقدر نبدل تاريخ الرحله ديالي؟
ما هي تكلفه الرحله الي روما؟,كم تكلفه الرحله لروما؟,كام تكلفه الرحله لروما؟,ايش قد تكلفه الرحله لروما؟,قديش تكلفه السفره علي روما؟,شحال تمن الرحله لروما؟
ما هو افضل وقت لزياره اليابان؟,وش افضل وقت لزياره اليابان؟,ايه احسن وقت لزياره اليابان؟,شنو احسن وقت نروح لليابان؟,شو افضل وقت لزياره اليابان؟,شنو احسن وقت باش نزور اليابان؟
ساذهب للتسوق في الاسواق التقليديه.,باروح اسوّق في الاسواق الشعبيه.,هاروح اتسوق في الاسواق الشعبيه.,راح اروح اسوّگ بالاسواق الشعبيه.,رح روح تسوّق بالاسواق الشعبيه.,غادي نمشي نتقدي فالسوقات التقليديه/الشعبيه.
ما هي الانشطه المتاحه في هذا المنتجع؟,وش الانشطه اللي موجوده في المنتجع هذا؟,ايه الانشطه اللي موجوده في المنتجع ده؟,شنو النشاطات المتوفره بهذا المنتجع؟,شو الانشطه يلي موجوده بالمنتجع هيدا؟,شنو الانشطه اللي كاينه فهاد المنتجع؟
اريد تعلم بعض العبارات الاساسيه باللغه المحليه.,ابغي اتعلم شويه عبارات اساسيه باللغه المحليه.,عايز اتعلم شويه عبارات اساسيه باللغه المحليه.,اريد اتعلم شويه عبارات اساسيه باللغه المحليه.,بدي اتعلم شويه عبارات اساسيه باللغه المحليه.,بغيت نتعلم شويه عبارات اساسيه باللغه المحليه.
ساسافر مع عايلتي الي اسبانيا.,بسافر مع عايلتي لاسبانيا.,هسافر مع عيلتي لاسبانيا.,راح اسافر ويا عايلتي لاسبانيا.,رح سافر مع عيلتي علي اسبانيا.,غادي نسافر مع عايلتي لاسبانيا.
ابحث عن رحلات رخيصه الي تركيا.,ادوّر رحلات رخيصه لتركيا.,بدوّر علي رحلات رخيصه لتركيا.,ادوّر علي سفرات رخيصه لتركيا.,عم دوّر علي رحلات رخيصه ع تركيا.,كنقلّب علي رحلات رخاص لتركيا.
هل يمكنني دفع ثمن التذكره عبر الانترنت؟,هل اقدر ادفع حق التذكره عن طريق النت؟,ممكن ادفع تمن التذكره اونلاين؟,اگدر ادفع حق التذكره بالنت؟,فيني دافع حق التذكره عن طريق النت؟,واش نقدر نخَلّص التذكره عبر الانترنت؟
استمتعت بمشاهده غروب الشمس علي الشاطي.,استمتعت بشوفه غروب الشمس علي الشاطي.,استمتعت بتفرج غروب الشمس علي الشط.,استمتعت بشوفه غروب الشمس علي الشاطي.,استمتعت بشوفه غروب الشمس علي الشط.,استمتعت بشوفه غروب الشمس علي الشاطي.
هل احتاج الي تاشيره لدخول هذا البلد؟,هل احتاج تاشيره عشان ادخل هالدوله؟,هل محتاج فيزا عشان ادخل البلد دي؟,احتاج فيزا حتي ادخل هاي الدوله؟,لازم فيزا لحتي فوت علي هالبلد؟,واش خاصني فيزا باش ندخل هاد لبلاد؟
هل يمكنني الغاء حجز الفندق؟,هل اقدر الغي حجز الفندق؟,ممكن الغي حجز الفندق؟,اگدر الغي حجز الفندق؟,فيني الغي حجز الفندق؟,واش يمكن ليا نلغي حجز الاوطيل؟
ابحث عن مطعم يقدم الماكولات البحريه.,ادوّر مطعم يقدم اكل بحري.,بدوّر علي مطعم بيقدم اكل بحري.,ادور علي مطعم يقدم اكل بحري.,عم دور علي مطعم بيقدم اكل بحري.,كنقلّب علي مطعم كيطبخ/كيقدم لماكولات البحريه.
ما هي الاماكن التي تنصح بزيارتها؟,وش الاماكن اللي تنصح بزياراتها؟,ايه الاماكن اللي بتنصح بزياراتها؟,شنو الاماكن اللي تنصح بزيارتهن؟,شو الاماكن يلي بتنصح بزيارتها؟,شنو البلايص اللي كتْنصح بزيارتهم؟
اريد تعلم بعض المعلومات عن ثقافه هذا البلد.,ابغي اتعلم شويه معلومات عن ثقافه هالبلد.,عايز اتعلم شويه معلومات عن ثقافه البلد دي.,اريد اتعلم شويه معلومات عن ثقافه هذا البلد.,بدي اتعلم شويه معلومات عن ثقافه هالبلد.,بغيت نتعلم شي معلومات علي ثقافه هاد البلاد.
اشعر بالحماس لرحلتي القادمه.,احس بالحماس لرحلتي الجايه.,حاسس باثاره لرحلتي الجايه.,احس بالحماس لسفرتي الجايه.,حاسس بحماس لرحلتي الجايي.,حاس براسي متحمس لرحلتي الجايه.
اريد التقاط الكثير من الصور.,ابغي اصور كثير صور.,عايز اصور صور كتير.,اريد اصور هواي صور.,بدي صور كتير صور.,بغيت نصوّر بزاف ديال التصاور.
استمتعت برحله القطار الخلابه.,استمتعت برحله القطار الجميله.,استمتعت برحله القطر الجميله.,استمتعت برحله القطار الحلوه.,استمتعت برحله القطار الحلوه.,استمتعت برحله التران لي زوينه.
اريد زياره القلاع القديمه.,ابغي ازور القلاع القديمه.,انا عايز ازور القلاع القديمه.,اريد ازور القلاع القديمه.,بدي زور القلاع القديمه.,بغيت نزور القصور القديمه.
ما هو افضل وقت لشراء التذاكر؟,متي افضل وقت اشتري التذاكر؟,ايه احسن وقت اشتري التذاكر؟,شنو احسن وقت نشتري التذاكر؟,شو احسن وقت نشتري التذاكر؟,شنو احسن وقت نشريو التذاكر؟
اريد غرفه بها شرفه.,ابغي غرفه فيها بلكونه.,انا عايز اوضه فيها بلكونه.,اريد غرفه بيها بالكونه.,بدي غرفه فيها بلكون.,بغيت بيت فيها بالكون.
ما هي سياسه الفندق بشان الاطفال؟,وش سياسه الفندق بالنسبه للاطفال؟,ايه سياسه الفندق بالنسبه للاطفال؟,شنو سياسه الفندق بالنسبه للاطفال؟,شو سياسه الفندق بالنسبه للاطفال؟,شنو سياسه الاوطيل بالنسبه للاطفال؟
هل يوجد مسبح في الفندق؟,فيه مسبح في الفندق؟,فيه حمام سباحه في الفندق؟,اكو مسبح بالفندق؟,فيه مسبح بالفندق؟,واش كاين شي بيسين فلهوتيل؟
اريد حجز طاوله في مطعم.,ابغي احجز طاوله في مطعم.,عايز احجز ترابيزه في مطعم.,اريد احجز طاوله بمطعم.,بدي احجز طاوله بمطعم.,بغيت نحجز طابله ف ريسطو.
